"""IP""",54.34,"""11/19/2014""","""3:59pm""
"
"""IPG""",19.86,"""11/19/2014""","""3:59pm""
"
"""IR""",62.71,"""11/19/2014""","""3:59pm""
"
"""IRM""",37.70,"""11/19/2014""","""3:59pm""
"
"""ISRG""",512.73,"""11/19/2014""","""3:59pm""
"
"""ITW""",94.57,"""11/19/2014""","""3:59pm""
"
"""IVZ""",39.44,"""11/19/2014""","""3:59pm""
"
"""JBL""",20.58,"""11/19/2014""","""3:59pm""
"
"""JCI""",50.18,"""11/19/2014""","""3:59pm""
"
"""JEC""",47.20,"""11/19/2014""","""3:59pm""
"
"""JNJ""",108.75,"""11/19/2014""","""3:59pm""
"
"""JNPR""",21.44,"""11/19/2014""","""3:59pm""
"
"""JOY""",52.23,"""11/19/2014""","""3:59pm""
"
"""JPM""",60.61,"""11/19/2014""","""3:59pm""
"
"""JWN""",73.83,"""11/19/2014""","""3:59pm""
"
"""K""",65.87,"""11/19/2014""","""3:59pm""
"
"""KEY""",13.285,"""11/19/2014""","""3:59pm""
"
"""KIM""",24.65,"""11/19/2014""","""3:59pm""
"
"""KLAC""",81.02,"""11/19/2014""","""3:59pm""
"
"""KMB""",113.82,"""11/19/2014""","""3:59pm""
"
"""KMI""",40.93,"""11/19/2014""","""3:59pm""
"
"""KMX""",55.04,"""11/19/2014""","""4:00pm""
"
"""KO""",44.21,"""11/19/2014""","""4:00pm""
"
"""KORS""",72.45,"""11/19/2014""","""4:00pm""
"
"""KR""",58.50,"""11/19/2014""","""4:00pm""
"
"""KRFT""",58.37,"""11/19/2014""","""4:00pm""
"
"""KSS""",57.39,"""11/19/2014""","""4:00pm""
"
"""KSU""",122.90,"""11/19/2014""","""4:00pm""
"
"""L""",42.635,"""11/19/2014""","""4:00pm""
"
"""LB""",77.66,"""11/19/2014""","""4:00pm""
"
"""LEG""",41.31,"""11/19/2014""","""4:00pm""
"
"""LEN""",45.73,"""11/19/2014""","""4:00pm""
"
"""LH""",100.91,"""11/19/2014""","""4:00pm""
"
"""LLL""",120.87,"""11/19/2014""","""4:00pm""
"
"""LLTC""",43.50,"""11/19/2014""","""4:00pm""
"
"""LLY""",67.21,"""11/19/2014""","""4:00pm""
"
"""LM""",55.13,"""11/19/2014""","""4:00pm""
"
"""LMT""",185.97,"""11/19/2014""","""4:00pm""
"
